FAO_commodity,assingment
"Polar cod, fresh or chilled",low
"Polar cod, frozen",low
Fresh or chilled pollack (Pollachius pollachius),low
Frozen pollack (Pollachius pollachius),low
"Saithe (= Pollock), salted or in brine",unsure
"Saithe (=Pollock) fillets in blocks, frozen",low
"Saithe (=Pollock) fillets, fresh or chilled",low
"Saithe (=Pollock) fillets, frozen",low
"Saithe (=Pollock), fresh or chilled",low
"Saithe (=Pollock), frozen",low
"Saithe (=Pollock), meat, frozen",low
"Saithe (=Pollock), minced, frozen",high
"Saithe (=Pollock), not minced, prepared or preserved",unsure
"Saithe, dried, salted or in brine",unsure
"Saithe, dried, whether or not salted, but not smoked",unsure
"Silver hake, fresh or chilled",low
"Silver hake, frozen",low
"Chilean hake fillets, fresh or chilled",low
"Chilean hake, fresh or chilled",low
"South Pacific hake fillets, frozen",low
"South Pacific hake, frozen",low
"Southern blue whiting (Micromesistius australis), fresh or chilled",low
"Southern blue whiting (Micromesistius australis), frozen",low
"Southern blue whiting fillets, fresh or chilled",low
"Southern blue whiting fillets, frozen",low
"Southern blue whiting, fresh or chilled",low
"Southern blue whiting, frozen",low
"Southern hake, fresh or chilled",low
"Southern hake, frozen",low
"Tusk, dried, salted or in brine",unsure
"Tusk, dried, whether or not salted, but not smoked",unsure
"Tusk, fresh or chilled",low
"Tusk, frozen",low
"Whiting (Merlangius merlangus), fresh or chilled",low
"Whiting fillets, fresh or chilled",low
"Whiting fillets, frozen",low
"Whiting, fresh or chilled",low
"Whiting, frozen",low
Capelin oil,high
"Clupeoid oils, nei",high
"Fish body oils, nei",high
Herring oil,high
Menhaden oil,high
Sardine oil,high
"Alaska plaice, fresh or chilled",low
"Atlantic halibut, dried, salted or in brine",unsure
"Atlantic halibut, dried, whether or not salted",unsure
"Atlantic halibut, fresh or chilled",low
"Atlantic halibut, frozen",low
"Atlantic halibut, smoked",high
"Bastard halibut fillets, fresh or chilled",low
"Bastard halibut fillets, frozen",low
"Bastard halibut, fresh or chilled",low
"Bastard halibut, frozen",low
"Common dab, fresh or chilled",low
"Common dab, frozen",low
"Common sole fillets, fresh or chilled",low
"Common sole fillets, frozen",low
"Common sole, fresh or chilled",low
"Common sole, frozen",low
"European plaice (Pleuronectes platessa), fresh or chilled",low
"European plaice fillets, fresh or chilled",low
"European plaice fillets, frozen",low
"European plaice, fresh or chilled",low
"European plaice, frozen",low
"Flatfish fillets in blocks, frozen, nei",low
"Flatfish meat, fresh or chilled, nei",low
"Flatfish nei, fillets, fresh or chilled",low
"Flatfish nei, fillets, frozen",low
"Flatfish nei, frozen",low
"Flatfish nei, prepared or preserved, not minced",unsure
"Flatfish, fresh or chilled, nei",low
"Flatfish, meat, whether or not minced, frozen",low
"Flatfish, salted or in brine, nei",unsure
"Flatfishes nei, frozen",low
"Flatfishes nei, salted or in brine",unsure
"Flatfishes, fresh or chilled, nei",low
"Flounder fillets, fresh or chilled",low
"Flounder fillets, frozen",low
"Flounder, fresh or chilled",low
"Flounder, frozen",low
"Greenland halibut fillets, dried, salted or in brine",unsure
"Greenland halibut fillets, frozen",low
"Greenland halibut, dried, whether or not salted",unsure
"Greenland halibut, fresh or chilled",low
"Greenland halibut, frozen",low
"Greenland halibut, smoked",high
"Halibut nei, fillets, frozen",low
"Halibuts nei, fillets, fresh or chilled",low
"Halibuts nei, frozen",low
"Halibuts, fresh or chilled, nei",low
"Halibuts, liver oils",high
"Lemon sole fillets, fresh or chilled",low
"Lemon sole fillets, frozen",low
"Lemon sole, fresh or chilled",low
"Lemon sole, frozen",low
"Megrim fillets, fresh or chilled",low
"Megrim fillets, frozen",low
"Megrim, fresh or chilled",low
"Megrim, frozen",low
"Megrim, meat, whether or not minced, frozen",low
"Pacific halibut, fresh or chilled",low
"Pacific halibut, frozen",low
"Plaice fillets, frozen, nei",low
"Plaices fillets, fresh or chilled, nei",low
"Plaices, fresh or chilled, nei",low
"Plaices, frozen, nei",low
"Sole fillets, fresh or chilled, nei",low
"Sole fillets, frozen, nei",low
"Soles, fresh or chilled, nei",low
"Soles, frozen, nei",low
"Turbot fillets, fresh or chilled",low
"Turbot fillets, frozen",low
"Turbot, fresh or chilled",low
"Turbot, frozen",low
"Turbots, frozen",low
"Yellowfin sole, frozen",low
"Anchovies minced, prepared or preserved",unsure
"Anchovies nei, dried, salted or in brine",unsure
"Anchovies, fillets, prepared or preserved",unsure
"Anchovies, fresh or chilled",low
"Anchovies, frozen",low
"Anchovies, prepared or preserved, not minced",unsure
"Anchovies, salted or in brine",unsure
"Anchovies, semi-preserved",unsure
"Atlantic herring fillets, fresh or chilled",low
"Atlantic herring fillets, frozen",low
"Atlantic herring, dried, salted or in brine",unsure
"Atlantic herring, fresh or chilled",low
"Atlantic herring, frozen",low
"Atlantic herring, not minced, in oil, prep. or pres.",high
"Atlantic herring, not minced, marinated, prep. or pres.",unsure
"Atlantic herring, not minced, prep. or pres., nei",unsure
"Atlantic herring, not minced, smoked in oil, prep. or pres.",high
"Atlantic herring, not minced, smoked in tomato sauce, prep. or pres.",high
"Atlantic herring, smoked",high
"Bonga shad, dried, salted, in brine, or smoked",unsure
"Bonga shad, dried, whether or not salted, but not smoked",unsure
"Brisling or sprats, fresh or chilled",low
"Brisling or sprats, frozen",low
"Sprat, prepared or preserved, not minced",unsure
"Clupeoid nei, fillets, fresh or chilled",low
"Clupeoid nei, fillets, frozen",low
"Clupeoids nei, dried, salted or in brine",unsure
"Clupeoids nei, dried, unsalted",unsure
"Clupeoids nei, dried, whether or not salted",unsure
"Clupeoids nei, dried, whether or not salted, but not smoked",unsure
"Clupeoids nei, fillets, dried, salted or in brine",unsure
"Clupeoids nei, fillets, frozen",low
"Clupeoids nei, frozen",low
"Clupeoids nei, salted or in brine",unsure
"Clupeoids nei, smoked",high
"Clupeoids, fillets, fresh or chilled, nei",low
"Clupeoids, fresh or chilled, nei",low
"Clupeoids, meat, fresh or chilled, nei",low
"Clupeoids, meat, whether or not minced, frozen, nei",low
"Clupeoids, prep. or pres., not minced, not in airtight containers",unsure
"Clupeoids, prepared or preserved, not minced, nei",unsure
"Clupeoids, salted or in brine, nei",unsure
"European anchovy, dried, salted or in brine",unsure
"European anchovy, dried, whether or not salted, but not smoked",unsure
"European anchovy, salted",unsure
"European sardine , fresh or chilled",low
"European sardine, frozen",low
"European sardine, prepared or preserved, not minced, in oil",high
